,0
0,515.6582598892012
1,519.2738579022803
2,520.905827038679
3,516.800605922047
4,517.7502060611591
5,515.4786164622301
6,519.5709017543325
7,517.2198137480133
8,516.0685796975966
9,586.9424195938659
10,560.5930961526374
11,528.614434792725
12,518.0343202631689
13,527.5999558279411
14,582.1476959727486
15,605.9946805277572
16,573.8288898752389
17,543.0690851720092
18,550.8809634936416
19,593.2549318285367
20,629.3579249395053
21,585.5706376570398
22,558.6917869372245
23,636.7599370950547
24,558.9500759035471
25,557.7133403229335
26,581.4031604294169
27,543.2287392193825
28,551.1008291153631
29,567.1936497388967
